iter	Passed	Remaining
630	3952	2311
631	3959	2305
632	3965	2298
633	3971	2292
634	3977	2286
635	3984	2280
636	3991	2274
637	3998	2268
638	4005	2263
639	4012	2256
640	4018	2250
641	4025	2244
642	4032	2238
643	4038	2232
644	4046	2227
645	4052	2220
646	4059	2214
647	4066	2208
648	4073	2202
649	4079	2196
650	4086	2190
651	4093	2184
652	4099	2178
653	4106	2172
654	4113	2166
655	4120	2160
656	4127	2155
657	4134	2148
658	4141	2142
659	4147	2136
660	4154	2130
661	4160	2124
662	4167	2118
663	4173	2111
664	4179	2105
665	4186	2099
666	4192	2093
667	4198	2086
668	4205	2080
669	4213	2075
670	4220	2069
671	4227	2063
672	4234	2057
673	4240	2051
674	4247	2045
675	4254	2038
676	4261	2033
677	4267	2026
678	4274	2020
679	4280	2014
680	4287	2008
681	4293	2002
682	4300	1995
683	4306	1989
684	4312	1983
685	4319	1977
686	4326	1970
687	4332	1964
688	4338	1958
689	4345	1952
690	4351	1945
691	4357	1939
692	4364	1933
693	4370	1927
694	4376	1920
695	4383	1914
696	4389	1908
697	4397	1902
698	4403	1896
699	4409	1889
700	4416	1883
701	4422	1877
702	4429	1871
703	4436	1865
704	4443	1859
705	4450	1853
706	4456	1847
707	4463	1840
708	4469	1834
709	4476	1828
710	4482	1821
711	4487	1815
712	4494	1808
713	4500	1802
714	4506	1796
715	4512	1789
716	4518	1783
717	4525	1777
718	4531	1771
719	4538	1764
720	4544	1758
721	4550	1752
722	4557	1746
723	4563	1739
724	4569	1733
725	4576	1727
726	4582	1720
727	4588	1714
728	4595	1708
729	4601	1701
730	4607	1695
731	4614	1689
732	4620	1683
733	4627	1676
734	4633	1670
735	4639	1664
736	4645	1657
737	4651	1651
738	4658	1645
739	4664	1638
740	4670	1632
741	4677	1626
742	4683	1619
743	4689	1613
744	4695	1607
745	4701	1600
746	4708	1594
747	4713	1588
748	4720	1581
749	4726	1575
750	4732	1569
751	4739	1562
752	4745	1556
753	4751	1550
754	4757	1543
755	4763	1537
756	4769	1531
757	4775	1524
758	4781	1518
759	4788	1512
760	4794	1505
761	4801	1499
762	4807	1493
763	4813	1487
764	4820	1480
765	4826	1474
766	4832	1468
767	4839	1461
768	4845	1455
769	4852	1449
770	4857	1442
771	4863	1436
772	4870	1430
773	4876	1423
774	4883	1417
775	4889	1411
776	4894	1404
777	4901	1398
778	4907	1392
779	4913	1385
780	4919	1379
781	4925	1373
782	4931	1366
783	4938	1360
784	4944	1354
785	4950	1347
786	4956	1341
787	4963	1335
788	4970	1329
789	4976	1322
790	4982	1316
791	4988	1310
792	4994	1303
793	5000	1297
794	5006	1291
795	5012	1284
796	5018	1278
797	5024	1271
798	5031	1265
799	5037	1259
800	5043	1252
801	5050	1246
802	5055	1240
803	5062	1234
804	5068	1227
805	5074	1221
806	5080	1215
807	5086	1208
808	5092	1202
809	5098	1196
810	5104	1189
811	5111	1183
812	5117	1177
813	5123	1170
814	5129	1164
815	5135	1158
816	5141	1151
817	5148	1145
818	5155	1139
819	5161	1133
820	5167	1126
821	5173	1120
822	5179	1113
823	5185	1107
824	5191	1101
825	5197	1094
826	5203	1088
827	5209	1082
828	5216	1075
829	5222	1069
830	5228	1063
831	5234	1057
832	5241	1050
833	5247	1044
834	5253	1038
835	5260	1032
836	5266	1025
837	5272	1019
838	5279	1013
839	5285	1006
840	5291	1000
841	5297	994
842	5303	987
843	5309	981
844	5315	975
845	5321	968
846	5328	962
847	5334	956
848	5340	949
849	5346	943
850	5352	937
851	5359	931
852	5365	924
853	5372	918
854	5378	912
855	5384	905
856	5390	899
857	5396	893
858	5402	886
859	5408	880
860	5414	874
861	5421	867
862	5427	861
863	5433	855
864	5439	848
865	5445	842
866	5451	836
867	5458	830
868	5464	823
869	5471	817
870	5476	811
871	5482	804
872	5489	798
873	5495	792
874	5501	785
875	5508	779
876	5514	773
877	5520	767
878	5526	760
879	5532	754
880	5539	748
881	5545	741
882	5551	735
883	5558	729
884	5564	723
885	5570	716
886	5576	710
887	5582	704
888	5589	697
889	5595	691
890	5601	685
891	5607	678
892	5613	672
893	5619	666
894	5625	660
895	5631	653
896	5638	647
897	5644	641
898	5650	634
899	5657	628
900	5663	622
901	5669	615
902	5675	609
903	5681	603
904	5688	597
905	5693	590
906	5700	584
907	5706	578
908	5712	571
909	5718	565
910	5724	559
911	5731	552
912	5737	546
913	5743	540
914	5750	534
915	5756	527
916	5762	521
917	5769	515
918	5775	509
919	5782	502
920	5788	496
921	5794	490
922	5800	483
923	5806	477
924	5813	471
925	5819	465
926	5825	458
927	5832	452
928	5838	446
929	5844	439
930	5851	433
931	5857	427
932	5864	421
